Water_Body,pH,Turbidity_NTU,Temperature_C,Dissolved_Oxygen_mgL,Conductivity_uS,Bacteria_CFU_100mL,Potability,Organic_Carbon_mgL,Ammonia_mgL,Nitrates_mgL,Nitrites_mgL,Sulfate_mgL,Solids_ppm
Lake,8.32,37.61,10.3,4.8,626.9,2487.0,0,1.49,3.09,30.3,1.9,254.14,17945.22
Reservoir,6.13,12.63,17.4,8.74,271.1,229.0,0,5.84,2.26,43.86,0.45,101.33,47041.52
Lake,8.51,8.98,15.7,7.9,1050.0,619.0,1,1.64,2.95,9.6,2.67,316.63,36909.67
Lake,6.18,19.08,34.3,5.88,131.4,174.0,0,2.86,2.34,34.53,1.37,78.13,9100.25
Reservoir,8.9,16.76,26.2,5.49,757.5,1913.0,1,18.0,2.66,40.05,2.25,281.43,43901.05
River,8.67,7.46,21.7,11.56,455.1,1374.0,0,1.26,1.56,27.73,1.37,194.89,7694.48
Pond,6.8,39.74,15.3,8.93,225.7,1785.0,0,17.92,1.86,21.75,2.83,274.06,2855.2
Lake,6.67,36.2,30.9,3.0,607.9,127.0,1,19.63,2.48,12.97,1.8,35.87,34574.02
Pond,8.35,14.75,6.3,5.39,1203.3,402.0,0,18.66,4.35,13.93,1.27,10.8,14461.33
Reservoir,6.45,25.12,11.5,8.86,1177.3,1095.0,1,3.09,1.9,20.22,1.94,349.97,17798.42
River,8.6,14.82,24.1,11.45,1066.1,3540.0,0,1.02,1.15,19.95,1.58,392.91,28262.4
Ocean,6.1,5.1,5.1,4.0,678.1,4216.0,1,0.63,2.3,47.62,2.09,340.12,13327.17
River,7.95,20.29,24.0,10.23,1126.3,1902.0,0,9.35,3.04,9.11,1.68,5.75,905.73
Reservoir,6.78,18.78,31.8,11.87,1018.6,1769.0,1,9.21,1.75,5.64,0.66,436.13,20769.47
River,8.53,44.53,14.9,10.88,889.9,1552.0,1,9.59,1.3,36.46,0.44,414.21,2266.89
Ocean,7.13,32.98,34.6,7.68,926.3,811.0,0,6.25,2.34,47.55,0.79,27.9,44458.81
Lake,7.3,38.94,27.1,10.85,1398.0,1717.0,0,1.03,0.6,39.57,1.64,86.93,19479.75
River,6.44,33.87,15.5,9.89,1364.1,1185.0,0,13.26,2.96,9.55,2.34,466.74,37292.16
Reservoir,7.88,14.17,13.5,3.55,93.8,1014.0,0,1.13,3.15,24.52,1.18,93.38,38661.88
River,7.41,40.85,27.5,7.36,312.6,4659.0,0,17.51,2.35,0.13,2.19,52.58,20174.0
Ocean,6.03,34.29,6.1,10.16,1242.0,2969.0,0,11.95,4.91,10.58,0.92,290.68,44216.73
Reservoir,8.19,5.54,17.2,10.04,142.0,3398.0,1,13.16,2.38,11.0,0.76,268.82,16343.43
River,6.38,22.86,22.2,10.39,470.8,2944.0,0,5.26,2.29,2.97,1.87,10.87,1827.85
Reservoir,7.58,2.14,6.6,8.73,1476.5,482.0,0,19.62,2.26,22.85,1.72,480.71,32954.26
Ocean,7.62,18.14,11.0,6.5,1202.4,3137.0,0,7.94,4.95,25.63,1.7,390.15,24267.66
Lake,6.9,31.34,8.2,6.56,985.1,4075.0,1,6.39,0.18,3.23,0.19,73.7,43465.05
Ocean,6.69,26.22,31.4,6.55,753.9,3577.0,1,19.77,1.92,36.15,0.94,498.15,29259.27
Lake,6.93,24.0,29.2,8.9,416.0,1060.0,0,1.39,3.38,30.55,1.43,405.15,29695.59
Pond,7.19,10.53,17.9,10.71,70.0,564.0,1,17.79,1.2,16.57,0.42,181.22,34139.72
Ocean,8.8,5.9,12.8,10.39,1324.6,1871.0,1,12.86,0.5,40.96,2.77,228.06,43253.09
Lake,8.01,20.63,24.8,4.99,1366.1,1793.0,0,8.34,1.56,34.72,0.12,290.93,49386.47
Pond,8.9,21.63,20.8,10.13,991.2,1358.0,0,8.07,4.87,32.73,1.02,319.86,48849.44
Pond,6.25,36.58,23.1,6.64,174.7,4058.0,0,15.39,0.61,5.69,1.36,302.1,14135.03
Pond,6.14,6.52,21.9,6.41,799.0,2835.0,0,6.74,3.44,33.1,0.39,75.43,21450.12
Reservoir,6.18,17.37,22.1,7.85,1082.9,1408.0,1,15.98,3.86,23.94,0.03,321.77,3248.26
Ocean,8.58,17.82,26.3,7.24,844.1,4300.0,1,0.35,1.14,24.08,0.64,457.21,27397.12
Ocean,8.5,21.33,6.5,11.12,700.0,4450.0,0,15.55,4.65,36.47,2.45,180.38,44376.68
Ocean,7.31,6.77,12.8,5.55,298.8,3048.0,0,19.84,1.69,30.51,1.24,284.68,23298.35
Ocean,7.31,33.4,20.9,10.31,1182.5,1922.0,0,18.39,3.1,23.28,2.3,298.61,703.08
Reservoir,7.28,19.38,9.6,7.71,1336.1,2271.0,1,6.06,1.96,37.05,1.39,183.2,32997.58
Ocean,8.83,27.34,9.6,7.23,321.4,68.0,1,9.54,4.17,29.68,1.4,143.94,31811.3
Lake,6.79,4.94,5.1,5.87,367.9,4540.0,1,2.17,1.63,11.79,2.75,346.36,35780.07
Pond,8.16,34.85,34.9,5.02,1396.9,4977.0,0,0.7,4.47,13.3,2.01,80.13,43178.51
Reservoir,6.33,32.71,22.2,9.21,677.6,1029.0,0,1.13,1.82,23.34,2.62,358.75,14921.02
Reservoir,6.78,21.85,14.0,7.97,300.0,3976.0,1,5.46,2.21,5.99,0.81,465.98,17160.0
Ocean,7.8,23.5,17.6,5.57,232.3,2685.0,0,17.97,1.35,25.26,1.83,28.14,4620.88
Pond,7.79,14.23,13.4,11.39,1367.1,573.0,0,1.82,2.91,47.24,1.41,85.52,207.3
Lake,7.66,15.24,26.7,9.52,795.3,786.0,1,19.0,4.38,37.07,2.58,41.14,977.18
Pond,6.37,47.13,30.3,5.17,1383.3,3091.0,1,16.87,3.57,10.25,0.1,434.7,4062.34
River,8.26,1.06,18.4,9.04,355.1,3777.0,0,18.54,4.86,33.09,0.99,115.48,4033.98
Pond,8.13,27.81,25.9,10.72,330.3,2555.0,0,5.01,1.82,3.31,0.42,181.32,27054.52
Lake,8.04,15.84,11.2,6.75,291.4,4770.0,0,0.91,2.73,44.21,1.09,489.91,12840.32
Lake,6.39,17.99,8.5,5.47,1081.2,2361.0,1,8.39,0.12,43.17,1.67,432.77,36656.4
Lake,6.66,26.61,18.8,8.84,1444.0,3610.0,1,1.57,0.68,46.42,2.35,311.18,16582.04
Reservoir,8.73,20.06,33.3,9.85,1383.0,4291.0,1,0.51,1.14,43.38,2.53,241.85,33930.0
Reservoir,7.45,7.88,32.1,6.26,131.5,4952.0,1,16.69,2.02,16.37,1.63,263.59,42688.12
River,7.25,11.59,16.7,3.29,512.0,2818.0,1,10.49,3.71,41.94,0.89,151.23,26876.12
Pond,8.62,2.11,22.2,11.14,770.9,2158.0,1,17.94,0.63,4.36,1.51,264.78,8584.99
Ocean,6.88,19.2,28.2,9.6,502.4,2615.0,0,15.67,3.17,20.08,1.72,70.92,21529.25
River,8.48,44.81,26.5,7.35,1134.5,620.0,0,8.45,1.42,15.15,2.73,14.81,31132.85
Ocean,7.32,24.81,20.3,11.44,352.8,2696.0,1,15.9,2.46,9.15,2.07,402.4,39775.19
Ocean,7.86,27.6,29.1,7.23,299.0,1587.0,1,10.61,1.97,33.52,2.4,266.36,45654.07
River,7.09,22.5,10.8,5.4,1230.3,1661.0,1,11.1,3.86,15.44,2.69,225.1,2106.19
Pond,8.75,44.43,10.3,3.13,1010.2,3088.0,0,8.94,2.28,18.39,2.21,289.89,31844.39
Ocean,6.32,21.77,11.8,10.97,906.7,765.0,0,10.39,1.52,5.62,0.82,132.67,49551.85
Reservoir,6.65,37.83,27.4,4.17,388.6,507.0,1,16.64,0.93,40.42,2.44,8.04,46569.83
Reservoir,6.61,37.69,33.4,10.66,143.6,1208.0,1,1.51,1.56,12.2,2.6,268.66,2398.12
River,6.78,25.16,30.5,6.07,1200.1,245.0,1,15.36,4.66,43.17,0.1,51.09,669.22
Ocean,7.36,32.91,28.7,11.86,869.8,779.0,1,2.15,1.07,33.49,2.64,413.07,41346.41
River,6.35,22.1,18.6,7.65,1058.7,106.0,1,10.75,4.61,27.84,2.36,493.13,36521.66
Reservoir,6.12,37.6,17.8,5.41,679.4,23.0,0,7.87,1.16,18.01,0.95,232.0,20470.64
River,7.7,43.16,35.0,7.45,1439.1,4580.0,0,0.35,2.02,20.28,0.34,194.53,26227.0
Ocean,7.51,44.56,14.6,5.43,1227.8,1229.0,0,17.02,0.49,39.41,0.49,250.08,23871.77
Ocean,7.02,5.39,22.3,7.25,1437.1,1953.0,1,12.24,2.8,21.83,1.36,165.48,47477.15
Reservoir,6.51,17.02,16.5,6.7,1499.1,2850.0,0,5.21,4.45,38.38,2.63,415.84,29601.47
Lake,6.35,15.1,17.0,11.43,1074.7,68.0,0,4.86,2.57,45.05,2.28,187.53,48845.44
Lake,8.67,42.38,18.3,3.65,1447.9,54.0,0,2.29,1.64,4.43,0.96,165.29,2018.6
Pond,7.3,32.23,27.6,10.73,1350.3,1103.0,0,7.63,0.12,11.8,0.65,491.68,3450.41
Reservoir,8.86,20.28,27.6,6.66,1311.9,2098.0,0,5.39,1.6,30.11,1.76,170.23,3136.11
Pond,6.98,18.11,8.5,7.36,1391.8,1682.0,1,10.48,2.15,32.61,1.0,151.75,15193.48
Reservoir,7.84,1.13,20.5,4.66,1265.4,3146.0,1,8.11,0.5,16.69,1.69,207.32,7381.55
Ocean,7.7,44.39,28.1,4.07,1157.3,847.0,0,8.08,0.91,17.83,0.16,57.13,32644.75
Reservoir,6.49,39.93,5.8,11.32,970.3,1975.0,0,17.52,0.18,40.34,0.79,261.71,13689.35
River,7.48,22.94,19.3,10.49,677.2,4551.0,0,7.26,1.77,32.76,2.38,50.75,27811.9
Pond,7.45,2.54,19.5,3.71,613.2,367.0,1,2.79,1.67,32.41,2.43,178.88,21153.23
Reservoir,7.52,44.67,28.3,7.67,1224.6,1070.0,1,13.18,1.75,35.08,0.49,301.14,44156.9
Pond,6.91,14.93,34.9,10.09,557.6,2855.0,1,11.84,2.25,36.19,1.29,202.11,3380.75
Reservoir,6.73,18.25,20.8,5.11,1107.4,2859.0,1,8.64,3.66,37.76,2.65,264.63,42872.27
Lake,7.23,44.64,25.7,3.23,1489.9,3750.0,1,13.44,2.02,37.78,1.1,378.88,3474.26
Pond,8.77,28.54,34.9,6.02,1364.8,888.0,1,15.1,2.85,0.87,2.94,76.76,24705.27
Ocean,7.71,23.89,22.9,7.97,438.6,4177.0,1,7.66,0.29,26.95,2.79,497.1,41527.12
Ocean,7.41,22.7,6.0,3.36,143.3,2622.0,0,9.18,2.68,15.58,0.65,210.01,49001.81
Reservoir,6.59,26.98,24.1,4.23,566.4,4443.0,1,17.51,1.76,46.51,2.81,89.05,41123.6
Ocean,8.78,7.01,12.2,10.41,1335.3,287.0,0,8.07,1.49,43.25,0.54,114.48,29707.72
Ocean,7.98,13.69,26.2,11.68,1090.6,4291.0,0,18.04,2.85,42.03,2.92,336.38,34685.05
Pond,8.97,1.47,26.8,10.17,970.1,1539.0,1,10.84,2.84,0.23,1.47,154.69,39716.66
Reservoir,6.51,45.99,22.7,11.95,1396.7,2187.0,0,18.47,4.88,40.14,1.29,248.09,24995.1
Pond,7.17,44.77,32.3,3.55,1168.1,1489.0,1,13.44,2.83,25.59,0.37,390.28,24863.27
Reservoir,7.0,31.21,27.9,9.61,398.5,3935.0,1,1.87,1.33,3.33,0.15,260.37,38932.37
Ocean,7.0,20.46,31.7,6.28,824.9,2959.0,1,1.68,2.45,7.34,0.1,248.47,41183.84
Reservoir,6.1,29.57,26.6,10.7,98.6,4508.0,1,19.1,2.57,25.68,2.53,223.22,41435.04
Reservoir,7.61,22.17,22.7,6.41,169.4,3687.0,1,1.18,1.1,31.29,1.7,411.68,25147.35
River,7.83,43.28,5.1,6.66,1336.6,1019.0,0,6.81,3.02,7.47,1.68,112.98,32598.47
Reservoir,6.14,28.97,16.4,8.21,336.4,1561.0,1,14.22,0.05,49.75,1.96,366.76,30681.03
River,8.64,39.09,22.0,3.33,159.3,2220.0,1,5.75,1.16,28.8,2.38,273.44,825.93
Pond,6.6,7.51,17.6,4.98,299.9,3835.0,0,13.67,4.63,3.33,0.89,239.07,45263.59
River,6.44,46.35,20.5,10.48,760.5,4198.0,1,0.8,2.36,3.93,2.13,250.43,29494.54
Pond,6.54,6.14,15.7,7.84,727.0,421.0,0,4.26,0.43,26.86,0.87,479.51,19897.06
Reservoir,7.27,37.73,21.3,8.37,115.7,4185.0,1,10.41,1.93,11.54,1.32,356.52,27912.32
Pond,6.25,21.88,20.1,10.51,918.2,4021.0,0,17.87,2.02,14.49,2.6,36.31,21778.93
Ocean,8.47,33.78,12.4,8.4,1418.4,4374.0,0,9.71,1.51,14.08,2.39,266.24,11829.4
Reservoir,8.04,44.4,15.7,9.46,708.7,2123.0,1,12.51,2.98,17.27,1.4,264.94,49835.83
River,7.42,25.11,14.4,4.76,1189.2,952.0,1,16.91,1.19,18.02,2.85,499.5,37854.63
Lake,7.5,46.78,29.5,8.4,1160.3,157.0,0,6.39,3.04,16.62,0.94,342.64,14519.56
Reservoir,7.22,12.35,8.0,7.48,1204.3,480.0,0,9.05,4.91,6.99,2.53,54.57,10008.08
Ocean,8.15,44.32,8.7,8.85,507.1,4927.0,1,5.55,2.16,43.63,0.58,125.5,5341.96
Pond,8.86,21.07,29.2,9.87,801.6,2254.0,0,17.58,4.53,14.7,2.78,212.21,26454.15
River,7.66,24.57,16.7,9.44,567.3,3692.0,0,7.29,4.75,36.08,1.05,32.69,11379.63
River,7.69,21.82,15.4,10.76,334.2,2697.0,0,12.95,4.21,18.18,0.76,148.91,21909.44
Ocean,7.57,9.37,20.3,5.73,843.7,3283.0,0,13.28,4.76,15.07,1.6,464.79,43269.64
Ocean,8.73,34.49,16.1,5.13,788.2,2889.0,1,8.89,3.89,43.23,1.81,483.78,19173.34
Reservoir,7.91,27.12,8.4,8.97,1450.9,1934.0,1,15.79,1.64,8.47,1.59,108.74,20537.43
Lake,8.62,40.49,10.7,8.19,446.3,4705.0,0,16.74,0.19,29.08,1.35,238.06,3029.57
Lake,7.75,45.86,16.1,6.38,1153.0,4851.0,0,4.88,4.91,22.6,2.9,316.32,14203.43
Pond,8.09,13.01,32.1,10.56,1323.0,3617.0,1,17.24,4.86,30.68,1.22,379.77,44873.34
River,7.97,36.21,18.3,9.85,1338.3,4321.0,1,3.26,3.66,2.6,0.61,112.52,36594.32
Reservoir,7.32,13.88,30.4,5.74,1443.4,4519.0,1,4.35,4.89,30.04,2.18,19.67,1592.69
River,6.41,35.14,15.5,4.08,600.7,3564.0,1,19.34,3.44,15.37,0.29,480.56,32562.72
Reservoir,7.27,16.75,22.1,8.97,650.9,2896.0,0,14.97,2.01,12.58,1.52,116.63,45327.66
Ocean,8.62,41.29,10.6,8.02,1455.6,3290.0,1,5.24,1.27,2.42,1.86,105.59,10152.95
Pond,7.97,40.18,9.9,6.84,362.8,4032.0,1,0.92,1.64,31.87,2.03,72.44,25804.8
Ocean,8.83,10.42,17.0,4.88,1173.8,1342.0,1,17.84,2.69,12.64,1.29,151.66,18074.36
River,6.84,46.27,28.6,9.91,765.1,3734.0,0,10.5,1.83,1.7,1.18,242.63,10108.71
Pond,7.42,22.0,20.3,5.89,438.8,1416.0,1,19.95,1.85,40.05,1.67,149.41,42658.92
Reservoir,8.23,23.76,14.2,6.71,323.6,3118.0,0,10.6,3.77,16.75,1.2,434.71,35275.8
Reservoir,6.4,13.45,19.6,8.71,804.1,3741.0,0,4.21,2.48,0.2,1.49,18.25,1800.02
Pond,6.3,17.79,16.2,6.73,1336.0,3859.0,1,9.6,3.45,31.16,2.9,381.24,6733.91
Ocean,8.26,24.17,5.1,11.78,589.4,2752.0,0,5.63,1.14,46.13,0.15,285.49,28956.46
Pond,8.0,8.47,9.4,6.09,426.7,4326.0,1,14.67,3.1,44.93,2.78,238.07,34706.29
Ocean,7.44,29.11,7.0,11.06,1038.8,4770.0,0,15.42,3.37,27.9,1.71,34.77,12266.62
Pond,6.2,28.46,17.8,10.75,1248.7,769.0,1,7.35,1.81,26.0,1.32,408.03,47764.67
Ocean,7.88,25.83,18.6,11.36,749.7,662.0,1,14.86,4.22,23.39,0.23,405.83,36286.4
Lake,8.01,15.5,9.8,4.04,1390.5,3053.0,0,19.58,3.68,20.34,1.33,228.59,35583.22
Pond,6.9,3.04,13.8,4.61,963.1,4236.0,1,1.54,2.85,30.89,0.4,111.4,41184.11
Ocean,6.27,42.39,34.4,3.76,976.3,2775.0,1,9.2,0.38,2.34,1.57,223.69,19494.9
River,7.51,22.94,5.4,5.8,497.3,4633.0,1,6.48,4.96,8.49,0.21,180.89,28660.28
River,7.46,35.59,16.9,3.28,272.5,3743.0,1,11.3,1.13,34.42,2.71,497.81,23296.18
Pond,6.89,4.29,32.3,10.86,1303.9,4270.0,1,5.24,1.08,30.78,1.43,381.28,34497.09
Pond,7.69,7.84,22.4,4.67,574.9,726.0,1,0.55,2.01,36.33,2.7,237.81,5515.85
Reservoir,7.83,38.68,11.1,9.27,429.9,1413.0,1,0.84,2.09,15.96,0.43,344.33,250.44
Ocean,8.77,33.77,33.1,10.66,1465.1,1859.0,0,8.67,4.53,10.55,2.58,92.49,34980.26
Pond,8.32,35.27,20.3,5.06,587.4,3394.0,1,17.52,0.18,22.67,0.29,381.91,12557.19
River,8.43,1.72,16.8,9.99,1208.5,4241.0,1,16.55,2.79,48.78,0.54,467.21,34341.93
River,6.56,19.4,29.7,5.81,801.0,2153.0,0,14.49,3.91,3.64,1.38,397.08,17575.62
River,7.37,16.01,23.4,7.4,162.0,2234.0,1,13.89,0.63,45.18,2.07,253.82,26321.33
Ocean,6.62,40.1,27.2,10.81,453.1,3423.0,1,0.74,1.21,40.02,2.46,232.62,7790.84
Lake,6.56,19.85,8.1,7.07,517.4,615.0,0,13.89,2.67,48.1,1.59,238.25,43290.03
Pond,7.52,0.86,24.0,11.16,337.8,2787.0,0,9.07,4.16,28.42,1.62,108.11,17772.91
Lake,6.84,20.63,12.6,3.19,859.0,1355.0,1,11.44,3.73,44.79,1.06,185.19,4237.16
Ocean,6.64,14.55,11.9,10.92,697.9,3815.0,1,0.62,2.93,6.51,1.35,213.86,46301.56
Pond,8.18,38.34,19.9,4.44,1283.1,4119.0,1,19.0,3.71,48.39,1.78,39.02,5265.02
Reservoir,6.1,34.06,29.2,6.16,1166.2,279.0,0,16.08,4.85,8.3,1.44,43.56,192.47
Pond,8.26,35.08,25.1,7.85,687.4,2249.0,0,19.86,4.71,13.85,0.36,48.36,35678.52
Pond,8.7,42.87,24.4,3.98,232.6,4303.0,0,5.74,0.01,3.21,2.03,376.38,23113.26
Pond,8.11,47.82,20.4,5.43,201.0,2243.0,1,12.67,0.94,7.19,1.08,259.03,2850.46
Pond,6.58,49.1,12.8,4.23,281.0,2294.0,0,0.36,3.17,38.33,2.13,267.51,2897.21
Pond,8.21,49.09,31.9,8.8,965.0,259.0,1,5.16,3.55,3.21,2.68,318.58,33291.92
Ocean,7.51,43.78,33.7,4.95,291.0,3107.0,0,14.72,1.33,10.29,2.9,196.45,49461.35
Pond,7.91,29.75,29.0,4.25,1121.9,1313.0,1,10.2,2.99,6.41,0.96,117.79,23797.71
Ocean,7.18,12.8,12.2,11.4,1211.2,1352.0,0,11.47,2.1,18.1,1.79,213.31,16951.15
Pond,6.57,1.04,20.6,9.44,1085.4,1386.0,1,17.71,0.98,46.06,1.26,388.22,19060.98
Pond,6.07,17.94,7.8,3.99,72.1,2904.0,1,18.58,2.0,16.34,0.74,151.31,15778.35
Ocean,8.22,41.29,11.4,9.13,1272.7,3513.0,0,15.52,2.99,25.88,1.36,452.17,23742.26
Pond,7.28,35.42,32.5,6.86,754.7,2483.0,1,11.14,4.02,3.53,0.6,169.26,12599.7
River,6.73,7.46,7.7,11.76,1448.2,491.0,0,3.98,0.77,42.22,2.86,141.04,37576.18
Pond,7.87,0.53,32.6,4.61,134.9,563.0,0,19.37,4.59,8.7,2.0,258.75,38967.17
Reservoir,8.38,13.52,5.5,6.28,900.1,2644.0,0,18.38,4.43,26.39,0.28,179.85,2628.45
Ocean,7.59,38.58,29.5,4.04,330.2,4328.0,1,17.46,1.25,24.5,1.86,43.57,44823.2
Pond,8.28,33.44,9.8,8.01,451.0,3309.0,1,13.77,0.6,0.32,1.44,386.59,8004.51
Pond,7.02,33.09,34.9,3.7,244.3,3145.0,0,13.83,4.29,32.71,0.72,72.95,42181.17
Ocean,7.96,35.0,28.4,5.09,241.1,1134.0,1,0.83,3.78,4.58,1.95,498.03,41059.18
Lake,7.85,13.94,32.5,6.35,746.5,3784.0,1,3.26,1.24,8.25,1.57,159.47,43631.99
River,6.52,29.77,15.2,11.15,243.2,3676.0,1,10.18,0.16,27.75,2.08,401.66,874.16
River,8.22,48.98,34.7,8.0,529.1,2233.0,0,2.33,2.84,48.87,1.88,351.2,44453.66
Pond,8.28,14.36,23.1,3.13,554.4,3063.0,0,6.43,1.7,4.43,2.63,326.22,28907.67
Ocean,7.97,43.36,25.6,3.58,1485.6,4291.0,0,5.23,4.27,20.07,2.41,108.79,7118.08
Reservoir,7.14,45.35,9.3,6.36,847.1,3679.0,0,8.25,4.63,2.06,0.85,324.89,38970.53
Pond,7.64,20.18,33.0,4.72,1303.7,2647.0,1,12.95,1.8,20.63,2.83,466.94,25653.52
River,7.31,4.19,18.3,11.56,1214.5,4191.0,1,0.59,1.45,12.09,1.1,31.83,1199.11
Pond,6.01,49.66,22.5,9.17,251.7,4017.0,1,10.98,1.95,42.91,0.88,296.27,25679.16
Ocean,6.03,5.16,16.4,9.75,605.0,3883.0,0,19.64,2.49,4.06,0.04,191.1,42451.16
Reservoir,6.59,41.47,16.5,4.49,380.4,2817.0,1,12.18,2.98,37.86,0.87,472.42,29193.77
Lake,8.74,17.7,27.3,5.43,201.8,4247.0,0,10.75,4.05,23.33,1.09,495.06,8404.82
Reservoir,7.89,30.67,19.9,8.21,668.9,3409.0,0,2.55,0.76,26.65,2.77,148.88,6110.49
Pond,7.17,15.39,12.0,8.34,682.4,3901.0,1,14.04,0.81,8.22,1.19,384.13,6281.82
River,7.82,19.06,12.8,5.57,845.5,4089.0,0,2.17,0.99,23.34,2.52,362.43,39021.72
Ocean,6.19,14.53,11.2,6.62,331.6,4970.0,1,15.79,1.32,24.08,1.07,296.36,2077.46
Pond,6.31,10.66,23.3,7.05,281.8,377.0,1,17.63,4.65,11.1,0.86,488.45,17369.65
Lake,6.24,18.42,34.0,5.28,1124.0,2741.0,0,5.16,2.63,6.66,2.4,100.23,27765.81
Ocean,8.45,43.34,21.4,6.76,159.5,4873.0,0,14.79,1.01,46.74,1.22,95.18,13897.74
Ocean,9.0,4.54,5.2,7.98,341.7,4691.0,0,12.85,2.37,48.14,0.55,94.68,20227.66
Ocean,6.67,1.05,20.5,3.47,873.6,4304.0,1,8.86,4.7,46.93,1.12,366.38,41525.12
Pond,7.45,12.18,9.6,8.13,1174.0,200.0,1,12.16,3.24,35.14,0.97,187.84,18120.71
Lake,6.4,42.42,6.5,5.55,814.6,422.0,1,4.4,0.34,16.47,2.49,54.86,41098.07
Pond,8.65,46.55,26.6,9.7,1284.5,646.0,0,18.39,1.49,21.91,0.4,258.03,11741.75
Ocean,6.47,40.74,22.8,11.31,313.8,3863.0,0,5.87,1.0,26.17,0.42,445.98,48259.33
Ocean,7.57,2.37,23.0,8.97,1480.7,3197.0,0,12.09,1.11,21.98,0.7,323.16,22856.74
River,7.74,10.17,20.3,7.84,1125.5,4237.0,0,8.93,1.45,44.54,2.51,476.92,28028.11
Reservoir,7.44,16.81,29.6,7.55,1477.7,3255.0,0,0.32,1.5,4.31,2.39,237.23,17657.35
Pond,6.18,34.33,26.0,10.79,821.0,4508.0,1,11.79,4.44,38.3,2.49,208.17,32928.48
Lake,8.06,16.7,21.4,6.16,1110.0,4481.0,1,17.49,2.75,27.49,0.68,208.62,6208.46
Ocean,8.66,24.97,7.1,3.24,1173.2,596.0,0,12.25,4.7,9.36,0.22,79.27,33179.5
Pond,6.27,2.52,21.3,10.56,128.9,115.0,0,15.23,0.49,4.6,1.63,357.25,43584.27
Reservoir,8.18,2.33,32.6,11.1,1286.0,2276.0,0,6.02,4.71,45.73,0.67,420.48,17965.68
Pond,8.46,36.74,24.4,7.2,626.1,4928.0,1,15.37,1.24,22.12,2.18,465.4,29488.13
Reservoir,6.49,5.7,31.2,8.27,749.4,1179.0,0,0.25,4.05,18.36,1.94,422.59,7639.71
Pond,8.98,14.14,27.9,5.69,461.2,3453.0,0,8.71,4.38,2.46,1.8,127.52,18079.72
River,6.89,0.74,22.1,6.04,589.0,147.0,0,13.41,2.51,31.71,2.25,29.19,4689.6
Pond,6.93,27.67,21.1,7.05,1109.4,2143.0,0,14.89,1.11,27.62,0.93,105.79,42858.44
River,7.7,27.4,19.8,6.03,982.2,3934.0,1,0.17,4.2,2.58,2.36,63.41,38096.98
Reservoir,8.46,22.59,22.6,11.79,423.2,2087.0,1,9.54,4.93,33.42,0.87,259.8,15012.89
Ocean,7.38,39.45,22.9,10.31,1121.4,1369.0,0,14.13,0.55,10.61,0.78,388.44,40071.52
Ocean,7.64,19.5,20.1,5.65,1248.7,2833.0,1,6.51,0.34,33.37,0.18,274.63,25663.06
Pond,7.85,12.78,31.3,7.75,1238.8,588.0,1,4.37,3.52,43.42,2.56,135.33,35841.18
Lake,8.38,17.07,29.8,7.04,897.5,1854.0,1,2.36,2.32,31.82,0.32,204.12,49345.86
Pond,7.94,34.69,25.4,11.9,230.0,4991.0,1,10.03,0.61,43.03,2.47,83.93,47256.48
River,6.51,47.4,15.7,4.74,173.4,3890.0,1,19.66,2.74,29.96,2.59,149.68,40135.43
River,7.8,35.39,25.8,6.22,183.6,69.0,0,0.27,1.41,43.69,2.58,113.36,18475.03
Reservoir,6.64,49.59,18.0,6.34,585.4,2056.0,0,7.42,3.45,29.69,1.36,194.48,20740.87
Pond,7.31,30.52,29.9,9.11,327.5,1566.0,1,1.55,0.27,4.07,0.29,22.48,47232.05
Reservoir,8.6,47.39,15.1,9.35,1048.7,931.0,1,16.36,4.88,46.54,1.86,36.33,9444.61
Lake,6.37,7.51,10.4,5.09,212.4,3165.0,0,5.87,3.2,1.74,0.98,409.38,41914.72
Ocean,7.09,12.28,15.3,6.18,878.6,4915.0,0,18.16,1.6,21.6,2.72,97.81,29760.28
Ocean,7.68,33.2,20.5,5.8,1488.0,3957.0,1,13.57,4.25,42.85,1.8,118.53,41287.04
Pond,8.61,24.71,31.3,6.99,1444.4,2290.0,1,13.52,3.9,38.47,0.21,121.15,24907.94
Reservoir,8.34,18.5,22.7,3.48,59.8,1338.0,1,10.17,3.51,43.66,1.15,440.71,25171.8
Reservoir,7.27,18.07,11.7,6.09,552.2,4790.0,0,1.96,3.98,34.42,1.83,402.08,6993.15
Lake,7.5,15.41,21.2,6.93,1202.4,2087.0,1,7.68,4.37,28.67,2.64,175.21,11099.17
Reservoir,8.54,40.64,10.4,10.64,1214.2,4966.0,1,1.39,4.31,0.95,1.73,479.13,41827.52
River,8.63,18.06,12.1,7.68,1209.7,4375.0,1,17.76,1.98,23.63,2.41,435.27,3262.25
River,7.59,4.31,32.0,11.45,919.7,712.0,1,19.68,4.14,7.37,0.77,477.2,18799.2
River,6.6,7.98,24.5,8.0,1480.2,153.0,1,0.78,4.94,47.02,1.5,408.78,20415.03
Pond,7.49,24.96,28.0,8.9,1078.4,2918.0,0,12.97,2.57,1.87,2.47,48.62,48931.88
River,8.78,6.82,18.8,11.1,1248.9,2360.0,1,6.75,2.53,5.86,2.49,402.48,33826.19
River,7.83,41.71,8.2,4.11,830.9,4950.0,1,16.27,0.64,43.99,0.72,202.45,45392.78
